market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,selectBoardN,viable,ADOPTED
batter_hits,0.5,compact,0.663486,0.663947,0.00046,False,False,0,False,False
batter_hits,0.6,compact,0.662685,0.663125,0.00044,False,False,0,False,False
batter_hits,0.7,offset,0.661589,0.66152,-6.8e-05,False,False,0,False,False
batter_rbis,0.5,offset,0.600679,0.600694,1.5e-05,False,False,0,False,False
batter_rbis,0.6,offset,0.601422,0.60136,-6.2e-05,False,False,0,False,False
batter_rbis,0.7,compact,0.60466,0.605484,0.000824,False,False,0,False,False
totals,0.5,price,0.693678,0.700509,0.006831,True,True,0,False,False
totals,0.6,price,0.694324,0.702298,0.007973,True,True,0,False,False
totals,0.7,price,0.694579,0.69824,0.003661,True,True,0,False,False
spreads,0.5,price,0.655636,0.663529,0.007893,True,True,1076,True,True
spreads,0.6,price,0.664518,0.667629,0.003111,True,True,1076,True,True
spreads,0.7,price,0.665435,0.667203,0.001767,True,True,1076,True,True
batter_total_bases,0.5,offset,0.67164,0.673367,0.001727,False,True,0,False,False
batter_total_bases,0.6,offset,0.670751,0.672378,0.001627,False,True,0,False,False
batter_total_bases,0.7,box,0.67004,0.671183,0.001142,False,True,0,False,False
batter_home_runs,0.5,offset,0.343794,0.343068,-0.000727,False,False,0,False,False
batter_home_runs,0.6,gbm,0.345502,0.345502,0.0,False,False,0,False,False
batter_home_runs,0.7,gbm,0.345047,0.345047,0.0,False,False,0,False,False
pitcher_strikeouts,0.5,price,0.629835,0.638266,0.008431,True,True,0,False,False
pitcher_strikeouts,0.6,price,0.631547,0.639085,0.007537,True,True,0,False,False
pitcher_strikeouts,0.7,price,0.628521,0.636722,0.008201,True,True,0,False,False
h2h,0.5,price,0.682478,0.696272,0.013794,True,True,515,True,True
h2h,0.6,price,0.684443,0.693682,0.00924,True,True,515,True,True
h2h,0.7,price,0.681074,0.688048,0.006974,True,True,515,True,True
batter_runs_scored,0.5,compact,0.650373,0.652154,0.00178,False,False,0,False,False
batter_runs_scored,0.6,price,0.648797,0.650351,0.001554,False,False,0,False,False
batter_runs_scored,0.7,compact,0.64475,0.644932,0.000183,False,False,0,False,False
pitcher_outs,0.5,price,0.681191,0.686798,0.005607,True,True,142,False,False
pitcher_outs,0.6,price,0.680415,0.684192,0.003777,True,True,142,False,False
pitcher_outs,0.7,price,0.68062,0.684285,0.003665,True,True,142,False,False
batter_strikeouts,0.5,compact,0.663764,0.663064,-0.0007,True,False,752,True,False
batter_strikeouts,0.6,compact,0.661086,0.660942,-0.000144,True,False,752,True,False
batter_strikeouts,0.7,compact,0.656928,0.656332,-0.000596,True,False,752,True,False
