arm,innerCut,market,spec,tau,minConf,collapse,side,n,roi,units
A:incumbent,0.7,batter_strikeouts,gbm,0.04,60,maxEv,under,176,17.39,30.6
C:anchored,0.5,batter_hits,gbm,0.04,60,mostBooks,both,71,5.82,4.1
C:anchored,0.5,batter_rbis,gbm,0.04,60,mostBooks,both,263,11.96,31.5
C:anchored,0.5,totals,gbm,0.04,60,mostBooks,both,0,,0.0
C:anchored,0.5,spreads,gbm,0.04,60,mostBooks,both,390,6.31,24.6
C:anchored,0.5,batter_total_bases,gbm,0.04,60,mostBooks,under,236,9.28,21.9
C:anchored,0.5,batter_home_runs,gbm,0.04,60,mostBooks,both,1,52.63,0.5
C:anchored,0.5,pitcher_strikeouts,gbm,0.04,60,mostBooks,both,9,-7.41,-0.7
C:anchored,0.5,h2h,gbm,0.04,60,mostBooks,both,222,-2.71,-6.0
C:anchored,0.5,batter_runs_scored,gbm,0.04,60,mostBooks,both,521,5.76,30.0
C:anchored,0.5,pitcher_outs,gbm,0.04,60,mostBooks,both,96,4.74,4.5
C:anchored,0.5,batter_strikeouts,gbm,0.04,60,mostBooks,both,197,5.17,10.2
C:anchored,0.6,batter_hits,compact+gbm,0.04,60,maxEv,both,54,6.68,3.6
C:anchored,0.6,batter_rbis,compact+gbm,0.04,60,maxEv,both,221,13.36,29.5
C:anchored,0.6,totals,compact+gbm,0.04,60,maxEv,both,0,,0.0
C:anchored,0.6,spreads,compact+gbm,0.04,60,maxEv,under,173,6.99,12.1
C:anchored,0.6,batter_total_bases,compact+gbm,0.04,60,maxEv,under,274,6.62,18.1
C:anchored,0.6,batter_home_runs,compact+gbm,0.04,60,maxEv,both,1,52.63,0.5
C:anchored,0.6,pitcher_strikeouts,compact+gbm,0.04,60,maxEv,both,6,-13.47,-0.8
C:anchored,0.6,h2h,compact+gbm,0.04,60,maxEv,both,180,-2.79,-5.0
C:anchored,0.6,batter_runs_scored,compact+gbm,0.04,60,maxEv,both,413,3.12,12.9
C:anchored,0.6,pitcher_outs,compact+gbm,0.04,60,maxEv,both,72,12.32,8.9
C:anchored,0.6,batter_strikeouts,compact+gbm,0.04,60,maxEv,both,183,18.91,34.6
C:anchored,0.7,batter_hits,price+compact+gbm,0.04,60,maxEv,both,41,-0.62,-0.3
C:anchored,0.7,batter_rbis,price+compact+gbm,0.04,60,maxEv,both,83,11.67,9.7
C:anchored,0.7,totals,price+compact+gbm,0.04,60,maxEv,both,0,,0.0
C:anchored,0.7,spreads,price+compact+gbm,0.04,60,maxEv,over,158,5.01,7.9
C:anchored,0.7,batter_total_bases,price+compact+gbm,0.04,60,maxEv,both,155,5.12,7.9
C:anchored,0.7,batter_home_runs,price+compact+gbm,0.04,60,maxEv,both,0,,0.0
C:anchored,0.7,pitcher_strikeouts,price+compact+gbm,0.04,60,maxEv,both,1,67.57,0.7
C:anchored,0.7,h2h,price+compact+gbm,0.04,60,maxEv,both,133,-2.35,-3.1
C:anchored,0.7,batter_runs_scored,price+compact+gbm,0.04,60,maxEv,both,329,5.09,16.7
C:anchored,0.7,pitcher_outs,price+compact+gbm,0.04,60,maxEv,both,54,12.19,6.6
C:anchored,0.7,batter_strikeouts,price+compact+gbm,0.04,60,maxEv,both,122,22.37,27.3
