market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,selectBoardN,viable,ADOPTED
batter_hits,0.5,offset,0.663669,0.663789,0.00012,True,False,453,False,False
batter_hits,0.6,offset,0.662846,0.663196,0.00035,True,False,453,False,False
batter_hits,0.7,offset,0.661617,0.66176,0.000143,True,False,453,False,False
batter_rbis,0.5,compact,0.600327,0.600099,-0.000228,False,False,0,False,False
batter_rbis,0.6,offset,0.601349,0.600992,-0.000357,False,False,0,False,False
batter_rbis,0.7,compact,0.604652,0.60506,0.000408,False,False,0,False,False
totals,0.5,price,0.693678,0.704327,0.010649,True,True,0,False,False
totals,0.6,price,0.694324,0.705801,0.011477,True,True,0,False,False
totals,0.7,price,0.694579,0.703774,0.009195,True,True,0,False,False
spreads,0.5,price,0.655636,0.667967,0.012332,True,True,1076,True,True
spreads,0.6,price,0.664518,0.67198,0.007462,True,True,1076,True,True
spreads,0.7,price,0.665435,0.676804,0.011369,True,True,1076,True,True
batter_total_bases,0.5,rf,0.671769,0.673017,0.001248,True,False,1449,True,False
batter_total_bases,0.6,rf,0.670904,0.672273,0.001369,True,False,1449,True,False
batter_total_bases,0.7,rf,0.669958,0.670678,0.00072,True,False,1449,True,False
batter_home_runs,0.5,offset,0.343683,0.342643,-0.00104,False,False,0,False,False
batter_home_runs,0.6,box,0.345889,0.34486,-0.001028,False,False,0,False,False
batter_home_runs,0.7,compact,0.343757,0.344217,0.00046,False,False,0,False,False
pitcher_strikeouts,0.5,price,0.629835,0.636832,0.006997,True,True,0,False,False
pitcher_strikeouts,0.6,price,0.631547,0.637899,0.006352,True,True,0,False,False
pitcher_strikeouts,0.7,price,0.628521,0.633429,0.004908,True,True,0,False,False
h2h,0.5,price,0.682478,0.696124,0.013647,True,True,515,True,True
h2h,0.6,price,0.684443,0.694009,0.009566,True,True,515,True,True
h2h,0.7,price,0.681074,0.68564,0.004566,True,True,515,True,True
batter_runs_scored,0.5,compact,0.650229,0.653832,0.003604,False,True,0,False,False
batter_runs_scored,0.6,price,0.648797,0.652963,0.004167,False,True,0,False,False
batter_runs_scored,0.7,compact,0.644505,0.647097,0.002593,False,True,0,False,False
pitcher_outs,0.5,price,0.681191,0.68617,0.004979,True,True,142,False,False
pitcher_outs,0.6,price,0.680415,0.684768,0.004353,True,True,142,False,False
pitcher_outs,0.7,price,0.68062,0.683897,0.003277,True,True,142,False,False
batter_strikeouts,0.5,compact,0.663463,0.662902,-0.000561,True,False,722,True,False
batter_strikeouts,0.6,compact,0.660723,0.66024,-0.000482,True,False,722,True,False
batter_strikeouts,0.7,compact,0.65669,0.65635,-0.00034,True,False,722,True,False
